"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1901606","GO:1901606","alpha-amino acid catabolic process","12/354","46/6476",0.260869565217391,4.7722918201916,6.17381435227534,4.24593195713465e-06,0.000161482379918121,0.00014157912332449,"YDR111C/YDR019C/YGR087C/YLR058C/YLR438W/YMR189W/YMR250W/YMR042W/YJR078W/YCL064C/YFR055W/YAL044C",12
"GO:0055085","GO:0055085","transmembrane transport","50/354","479/6476",0.104384133611691,1.9095809301393,4.97412773379183,4.69652028125553e-06,0.000172187343162928,0.000150964663172176,"YDR343C/YDR011W/YDL022W/YDR277C/YDR406W/YDR342C/YDR345C/YOL020W/YOR273C/YOR100C/YOL158C/YOR153W/YOR306C/YOR348C/YOL163W/YGL186C/YGR096W/YGL008C/YGR055W/YGR138C/YGL255W/YLL053C/YLR136C/YPL092W/YPL134C/YML055W/YML123C/YMR018W/YMR279C/YMR056C/YML116W/YBR296C/YJL212C/YKR039W/YEL065W/YER053C/YER056C/YHL047C/YHL036W/YHR092C/YHL040C/YIR034C/YIL121W/YIR028W/YIL047C/YCL025C/YFL054C/YFR053C/YAL067C/YAL005C",50
"GO:0008652","GO:0008652","amino acid biosynthetic process","21/354","128/6476",0.1640625,3.00132415254237,5.49893792469304,4.81949306562904e-06,0.000172187343162928,0.000150964663172176,"YDL182W/YOR108W/YOR202W/YGR208W/YGL184C/YLR058C/YLR438W/YLR355C/YPR145W/YMR042W/YBR248C/YNR050C/YJL200C/YJR148W/YER081W/YER055C/YIR034C/YIL094C/YCL030C/YCL064C/YFR055W",21
"GO:0055086","GO:0055086","nucleobase-containing small molecule metabolic process","32/354","251/6476",0.127490039840637,2.3322754181016,5.17649802187436,5.16903864775462e-06,0.000179244016638314,0.000157151577464243,"YDL022W/YDR481C/YDR399W/YOR128C/YGR192C/YGR061C/YGL234W/YLR151C/YLR359W/YPL061W/YMR105C/YMR120C/YMR300C/YML035C/YBR145W/YBR196C/YNL141W/YNL220W/YJL052W/YJR078W/YKR080W/YER037W/YHR163W/YHR174W/YHR128W/YHR183W/YHR216W/YIR027C/YIR028W/YFR053C/YAL038W/YAR015W",32
"GO:0016053","GO:0016053","organic acid biosynthetic process","27/354","195/6476",0.138461538461538,2.53298565840939,5.22655898014679,6.24017548306756e-06,0.000204365747070463,0.000179176968548899,"YDL182W/YOR108W/YOR202W/YGR208W/YGL184C/YLR058C/YLR438W/YLR355C/YPL061W/YPR145W/YPL095C/YMR272C/YMR042W/YBR248C/YNR050C/YJL200C/YJR148W/YKL182W/YER081W/YEL071W/YER073W/YER055C/YIR034C/YIL094C/YCL030C/YCL064C/YFR055W",27
"GO:0046394","GO:0046394","carboxylic acid biosynthetic process","27/354","195/6476",0.138461538461538,2.53298565840939,5.22655898014679,6.24017548306756e-06,0.000204365747070463,0.000179176968548899,"YDL182W/YOR108W/YOR202W/YGR208W/YGL184C/YLR058C/YLR438W/YLR355C/YPL061W/YPR145W/YPL095C/YMR272C/YMR042W/YBR248C/YNR050C/YJL200C/YJR148W/YKL182W/YER081W/YEL071W/YER073W/YER055C/YIR034C/YIL094C/YCL030C/YCL064C/YFR055W",27
"GO:0019693","GO:0019693","ribose phosphate metabolic process","18/354","101/6476",0.178217821782178,3.2602785702299,5.50500115705526,7.06957830976855e-06,0.000225271157492355,0.000197505715510461,"YDR399W/YOR128C/YGR192C/YGR061C/YGL234W/YLR359W/YMR120C/YMR300C/YML035C/YBR196C/YNL220W/YJL052W/YHR174W/YHR128W/YHR216W/YFR053C/YAL038W/YAR015W",18
"GO:0006753","GO:0006753","nucleoside phosphate metabolic process","30/354","235/6476",0.127659574468085,2.33537684817887,5.01401394026743,1.00498339485513e-05,0.00029785145465534,0.000261140242374487,"YDL022W/YDR481C/YDR399W/YOR128C/YGR192C/YGR061C/YGL234W/YLR151C/YLR359W/YPL061W/YMR105C/YMR120C/YMR300C/YML035C/YBR145W/YBR196C/YNL141W/YNL220W/YJL052W/YJR078W/YKR080W/YER037W/YHR163W/YHR174W/YHR128W/YHR183W/YHR216W/YFR053C/YAL038W/YAR015W",30
"GO:0045229","GO:0045229","external encapsulating structure organization","31/354","247/6476",0.125506072874494,2.29598115235939,4.99358965398249,1.01052232283406e-05,0.00029785145465534,0.000261140242374487,"YDR077W/YDR055W/YOL155C/YOL109W/YGL028C/YGR032W/YGR225W/YLR213C/YLR300W/YLR194C/YLR307W/YLR413W/YLR037C/YPR149W/YBR067C/YBL101C/YNL194C/YNR067C/YNL160W/YJL158C/YJR104C/YKL163W/YER011W/YEL040W/YER150W/YER124C/YHR143W/YIR039C/YIL011W/YCL048W/YCL058C",31
"GO:0071555","GO:0071555","cell wall organization","31/354","247/6476",0.125506072874494,2.29598115235939,4.99358965398249,1.01052232283406e-05,0.00029785145465534,0.000261140242374487,"YDR077W/YDR055W/YOL155C/YOL109W/YGL028C/YGR032W/YGR225W/YLR213C/YLR300W/YLR194C/YLR307W/YLR413W/YLR037C/YPR149W/YBR067C/YBL101C/YNL194C/YNR067C/YNL160W/YJL158C/YJR104C/YKL163W/YER011W/YEL040W/YER150W/YER124C/YHR143W/YIR039C/YIL011W/YCL048W/YCL058C",31
"GO:0009112","GO:0009112","nucleobase metabolic process","10/354","36/6476",0.277777777777778,5.08160703075957,5.90492465906636,1.48554049031486e-05,0.000427183472702737,0.00037453164608195,"YDR399W/YOR128C/YGL234W/YMR300C/YML035C/YNL141W/YKR080W/YER037W/YIR027C/YIR028W",10
